"description","drawing","function","originX","originY","uuid"
"Identify Inconsistency (6 consistency)","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","ec0a2a38-6e9f-4e90-944e-5a60e0209799","170","440","9b226df7-0382-40b1-b5e1-79ff3e9bf365"
"Identify Inconsistency (6 consistency)","8d813dc4-a1ba-419c-9486-d6ae7d606564","ec0a2a38-6e9f-4e90-944e-5a60e0209799","140","270","b5b3ac25-d583-436e-962e-cf0da46515b2"
"Present Inconsistency (8 fxml)","8d813dc4-a1ba-419c-9486-d6ae7d606564","cdda8318-7a66-4ff6-8101-b62fefe73417","450","370","c233a3e0-99d4-4217-af79-0a4c3b7144b2"
"Maintain Internal Model (9 model)","8d813dc4-a1ba-419c-9486-d6ae7d606564","141a405c-c45d-492d-8155-7e7d5b30eadb","200","440","ce33ac56-ea8a-4cc0-821c-6f7b6fe5b997"
"Maintain Internal Model (9 model)","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","141a405c-c45d-492d-8155-7e7d5b30eadb","410","340","eb9cc0c3-8d97-4a2f-8e34-91312638e2d7"
"Translate Model (4 beans)","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","2215500a-bcd7-4680-9600-0ea8c53710d1","410","190","eeabced8-d090-4597-8585-f1d4fd5b6698"
"Control Versions (1.2 Configuration Management System)","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","fd404a9f-42a9-418f-93e4-604812a30c7f","750","430","f1bd1f2c-fd15-47b5-b654-60ae499071b2"
"Develop Systems (2 Engineering Team)","8d813dc4-a1ba-419c-9486-d6ae7d606564","31a28a71-41c2-4a99-a763-d51dfb7c3883","340","130","266561c2-6deb-4368-ace5-23a83eda16c9"
"Store Files (7 files)","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","262d7ee1-c5b8-473e-8388-f717a893db8e","640","290","37491d96-5bf0-41de-b491-7c2ef90e4fe7"
"Manipulate Model (8 fxml)","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","6113c159-60c8-4db3-bab1-4d6c9c8e2750","170","220","6119316c-c5b7-4dcf-8b4c-35a39c0fd97b"
"Index Model (10 relation)","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","63ac4330-b54d-4e3d-8881-89c7d324c015","410","450","660a9537-191b-48b9-9849-f73bfb639fd5"
"Develop Systems (2 Engineering Team)","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","31a28a71-41c2-4a99-a763-d51dfb7c3883","190","40","6924515f-6fca-43f1-9e89-25319ebbb079"
"Store CSV (1.1.4 opencsv)","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","39ac7b1f-488a-4cc6-87e1-7068e3176d6e","850","250","7fb9bec4-0a49-4b6f-801e-1a0bfa42a026"
