"description","external","item","name","trace","uuid"
"Present Inconsistency (8 fxml)","false","5e437618-fca4-4025-9e9e-3e88b6ab9afa","Present Inconsistency","8d813dc4-a1ba-419c-9486-d6ae7d606564","cdda8318-7a66-4ff6-8101-b62fefe73417"
"Identify Inconsistency (6 consistency)","false","e0fada80-0f84-4546-a80c-7f0fbf21a46f","Identify Inconsistency","8d813dc4-a1ba-419c-9486-d6ae7d606564","ec0a2a38-6e9f-4e90-944e-5a60e0209799"
"Control Versions (1.2 Configuration Management System)","true","61e29bdc-5cf4-45fa-b6af-bec240c87a30","Control Versions","","fd404a9f-42a9-418f-93e4-604812a30c7f"
"Maintain Internal Model (9 model)","false","b79a9ca1-2a86-4e79-8298-0916b9068035","Maintain Internal Model","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","141a405c-c45d-492d-8155-7e7d5b30eadb"
"Translate Model (4 beans)","false","c195736f-02b6-4a6a-9521-9d504183fc9e","Translate Model","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","2215500a-bcd7-4680-9600-0ea8c53710d1"
"Store Files (7 files)","false","9e116fa6-e543-487c-b64e-3e600795c335","Store Files","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","262d7ee1-c5b8-473e-8388-f717a893db8e"
"Develop Systems (2 Engineering Team)","true","d674806d-db60-4c2d-afbf-725f7108a2d3","Develop Systems","","31a28a71-41c2-4a99-a763-d51dfb7c3883"
"Store CSV (1.1.4 opencsv)","true","55d83008-cd9e-4b84-8d75-15b2a8b31d98","Store CSV","","39ac7b1f-488a-4cc6-87e1-7068e3176d6e"
"Manipulate Model (8 fxml)","false","5e437618-fca4-4025-9e9e-3e88b6ab9afa","Manipulate Model","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","6113c159-60c8-4db3-bab1-4d6c9c8e2750"
"Index Model (10 relation)","false","ba57f545-5d51-4e6e-8859-02f1d079affd","Index Model","13a157cf-ab2e-4692-b91c-f8581fd0eb0c","63ac4330-b54d-4e3d-8881-89c7d324c015"
