"description","drawing","function","originX","originY","uuid"
"Resolve Inconsistency (4 consistency)","848a4aa5-3f30-4561-a6fc-01e4d5168dca","7fa654d4-e6f5-4d10-b3c5-95dff1f87758","740","280","8ffc10aa-de3f-4935-8d1b-95aa3eb51ca1"
"Input Model (5 Runtime User)","848a4aa5-3f30-4561-a6fc-01e4d5168dca","d5ebb853-799a-4e1b-bc88-1a3b8150f4f8","400","40","ce9f7f64-afe3-4e5d-973e-9b69759ee120"
"Store Files (3 Runtime Filesystem)","848a4aa5-3f30-4561-a6fc-01e4d5168dca","7d182653-479e-421f-9491-3ac2b863b62b","400","680","d6bb1244-d683-4527-b37a-bdc4c1243e9b"
"Index Model (8 relation)","848a4aa5-3f30-4561-a6fc-01e4d5168dca","996312f0-6453-4dee-89a1-185767761f19","690","520","e34ed640-271d-449e-9ad3-ad09a4a1a235"
"Model Mementos (2 beans)","848a4aa5-3f30-4561-a6fc-01e4d5168dca","d43ab53b-a6c5-4aac-8196-90d33b1d1413","290","420","e83a26b2-9189-4cde-9b4a-9a997f15cf60"
"Model Application State (1 baselines)","848a4aa5-3f30-4561-a6fc-01e4d5168dca","2cdf8884-09af-4e3b-b6fa-63291e506067","510","420","e9a6b730-198b-4630-9992-c52ec92db00d"
"Modify Model (6 fxml)","848a4aa5-3f30-4561-a6fc-01e4d5168dca","059020e6-234e-4095-823a-555fc8feb7a7","500","210","1437f941-aafb-4b30-a05d-21e0858682d8"
"Model System (7 model)","848a4aa5-3f30-4561-a6fc-01e4d5168dca","123428d0-3e1c-4dde-99d5-3257443d6302","330","310","1e39ad66-e7e9-4456-a8d2-a725268be02f"
"Process CSV (1.4 opencsv)","848a4aa5-3f30-4561-a6fc-01e4d5168dca","bc7ee126-2008-4049-ad69-1f0c67146036","650","600","5964b425-5934-44ca-a878-00625bc71d3b"
"Store Mementos (5 files)","848a4aa5-3f30-4561-a6fc-01e4d5168dca","d69a03a3-2751-4470-836f-7802b93a2a7f","420","530","64483e67-0da5-427c-a083-a486a76e4c7f"
