"color","description","item","originX","originY","uuid"
"0xccffffff","8 fxml","5e437618-fca4-4025-9e9e-3e88b6ab9afa","140.0","370.0","872fedfa-6b8b-42e1-86b9-0fffb6d087e1"
"0x8099ffff","7 files","9e116fa6-e543-487c-b64e-3e600795c335","600.0","170.0","89bd7dde-ddab-4b9c-b728-6e647b340e7b"
"0xb3e6e6ff","1 Build Instructions","fd47f927-c3f9-48ba-8913-693c88596cf5","160.0","170.0","9f077abb-24fb-45c4-9a91-7028bcb615b1"
"0xffe6ccff","1.1.4 opencsv","55d83008-cd9e-4b84-8d75-15b2a8b31d98","790.0","200.0","c12f98b6-5440-4f7f-9bc6-c51417c9afdc"
"0xccffffff","2 Test Instructions","9bf08ba8-13dc-47b3-b907-ad921bfc22ba","250.0","110.0","ec881f02-be2f-4887-8808-3621482a4a0b"
"0x80b3b3ff","10 relation","ba57f545-5d51-4e6e-8859-02f1d079affd","330.0","370.0","00cd4b1c-29b7-4872-ba30-d01d7dae8c98"
"0x99b3ffff","4 beans","c195736f-02b6-4a6a-9521-9d504183fc9e","370.0","170.0","0d3d0255-e087-4132-b21e-c962fb41812f"
"0x99ccccff","6 consistency","e0fada80-0f84-4546-a80c-7f0fbf21a46f","120.0","270.0","0de5c0f9-1707-40d5-8812-5a1bf052bd51"
"0xccffccff","2 Engineering Team","d674806d-db60-4c2d-afbf-725f7108a2d3","120.0","480.0","25f0e120-2a8f-4258-af75-8dea9e353be5"
"0xe6b3e6ff","1.2 Configuration Management System","61e29bdc-5cf4-45fa-b6af-bec240c87a30","690.0","380.0","543a3b00-c975-478f-8ac7-9badd9ec0697"
"0xb399ffff","1.1.5 Java 8 w/ JavaFX","18debf93-c474-4acb-930a-08dccd015fff","140.0","40.0","5aaa9bdb-9bb7-49e8-9d7b-e595ad30b920"
"0xb3ccffff","9 model","b79a9ca1-2a86-4e79-8298-0916b9068035","370.0","280.0","7b7338de-e981-4f4a-b1ce-f71f16e05a83"
